id,item_group_id,title,description,link,image_link,price,availability,condition
120,20,Wall Art | Ambitionista Trio Wall Art | Downloadable/Printable,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/ambitionista-trio-wall-art,"https://static.wixstatic.com/media/2ae67b_e4d775eacb4146ea9c92f4bb4f203ff4~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/2ae67b_e4d775eacb4146ea9c92f4bb4f203ff4~mv2.webp",10.99,in stock,new
121,21,Wall Art | The Queen Mother of Ambition | Downloadable/Printable Art,Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.,https://www.theambitionplanner.com/product-page/queen-mother-wall-art,"https://static.wixstatic.com/media/2ae67b_93fc4a2d4e3b4d85968c0f0d65616033~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/2ae67b_93fc4a2d4e3b4d85968c0f0d65616033~mv2.webp",5.99,in stock,new
122,22,Wall Art | Catching Sunshine Trio | Downloadable Art,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/catching-sunshine-trio,"https://static.wixstatic.com/media/70f0a4_6df2dfd8272b404a82f3ecbebfacce6e~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/70f0a4_6df2dfd8272b404a82f3ecbebfacce6e~mv2.webp",10.99,in stock,new
123,23,Wall Art | Abstract Faith Trio | Downloadable Art,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/abstract-faith-trio,"https://static.wixstatic.com/media/70f0a4_0afaf53a953542149e88b5d2e4e49d0c~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/70f0a4_0afaf53a953542149e88b5d2e4e49d0c~mv2.webp",10.99,in stock,new
124,24,Wall Art | Find Your Fire | Downloadable Art,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/find-your-fire-wall-art,"https://static.wixstatic.com/media/2ae67b_e3ddc1a49ca249c1b252dc748881ed4a~mv2.jpg/v1/fill/w_650,h_525,al_c,q_85,usm_0.66_1.00_0.01/2ae67b_e3ddc1a49ca249c1b252dc748881ed4a~mv2.webp",5.99,in stock,new
125,25,Wall Art | Pink Flamingo Trio | Downloadable Art,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/pink-flamingo-trio,"https://static.wixstatic.com/media/70f0a4_0e9b81c8adee422cb766fa10c6845223~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/70f0a4_0e9b81c8adee422cb766fa10c6845223~mv2.webp",10.99,in stock,new
126,26,Wall Art | Pink Sky Trio | Downloadable Art,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/pink-sky-trio,"https://static.wixstatic.com/media/70f0a4_5af87741df1645f3a0a8039da4f20b58~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/70f0a4_5af87741df1645f3a0a8039da4f20b58~mv2.webp",10.99,in stock,new
127,27,Wall Art | Stroke of Genius | Downloadable Art,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/stroke-of-genius,"https://static.wixstatic.com/media/2ae67b_ed51c193c581487a82ef9936f343e739~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/2ae67b_ed51c193c581487a82ef9936f343e739~mv2.webp",5.99,in stock,new
128,28,Wall Art | Blooming Faith | Downloadable Art,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/flower-grace-faith-wall-art,"https://static.wixstatic.com/media/70f0a4_b2ac5f40068741228dd64e045f1653d6~mv2.png/v1/fill/w_432,h_349,al_c,lg_1,q_90/70f0a4_b2ac5f40068741228dd64e045f1653d6~mv2.webp",10.99,in stock,new
129,29,Wall Art | Trip Around the Moon Trio | Downloadable Art,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/moon-trio-wall-art,"https://static.wixstatic.com/media/70f0a4_a8afe33b46a9400ca8b85e1017712a79~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/70f0a4_a8afe33b46a9400ca8b85e1017712a79~mv2.webp",10.99,in stock,new
130,30,Wall Art | Body Positivity Trio | Downloadable Art,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/body-positivity-trio,"https://static.wixstatic.com/media/70f0a4_6c6c33a3dd474d69834907b78738d77d~mv2.png/v1/fill/w_650,h_525,al_c,q_90,usm_0.66_1.00_0.01/70f0a4_6c6c33a3dd474d69834907b78738d77d~mv2.webp",10.99,in stock,new
131,31,Wall Art | Be Intentional | Downloadable Art,"Printable Art is an ULTRA CHIC and SUPER STYLISH way to decorate your home or office.

After purchase, you will receive a PDF download that will contain the links to our photo files. ",https://www.theambitionplanner.com/product-page/be-intentional-wall-art,"https://static.wixstatic.com/media/2ae67b_a0da816840294e17be79a92555cdbf25~mv2.jpg/v1/fill/w_650,h_525,al_c,q_85,usm_0.66_1.00_0.01/2ae67b_a0da816840294e17be79a92555cdbf25~mv2.webp",5.99,in stock,new
